week,geo,impression_tiktok,impression_tv,impression_outdoor1,impression_google,impression_facebook,impression_outdoor2,impression_organic,market_share,cost_tiktok,cost_tv,cost_outdoor1,cost_google,cost_facebook,cost_outdoor2,conversions,revenue,population
2022-10-03,Geo0,495955,323000,24000,895616,241546,,156720,0.04467427353145419,3636.700700000,3113.394800000,180.460000000,6979.392600000,1882.105100000,387.49942402589306,2193336.500000000,43971.176684130,136670.940000000
2022-09-26,Geo0,316706,408000,168000,944990,384225,,304060,0.0581715235653219,2322.317400000,3935.714600000,1250.409200000,7364.156700000,2993.847200000,2254.2862744613103,2972293.800000000,59492.778796164,136670.940000000
2023-09-11,Geo0,124229,229000,99000,865630,412929,,152068,0.04606310931751173,910.936900000,2210.368000000,736.687000000,6745.716300000,3217.506300000,1270.646475709473,2624217.500000000,52411.097592705,136670.940000000
2022-03-14,Geo0,306297,341000,200000,647233,525200,,243823,0.05213881125444916,2245.991000000,3288.682000000,1483.368700000,5043.783700000,4092.312000000,2764.278691978742,2489067.200000000,49671.297360954,136670.940000000
2022-08-22,Geo0,287110,575000,175000,274969,429373,,382009,0.057232232823613845,2105.298300000,5546.928700000,1303.451000000,2142.789600000,3345.636500000,2161.070641664394,2840257.200000000,56950.417475266,136670.940000000
2021-07-26,Geo0,0,189000,189000,551956,457125,,476514,0.03638213295255465,0E-9,1820.900900000,1403.307700000,4301.305000000,3561.877400000,3032.0967702273388,1971319.400000000,39372.348221288,136670.940000000
2021-08-30,Geo0,482966,369000,153000,838658,355976,,382727,0.034309466150658746,3541.456000000,3555.744000000,1138.833700000,6535.528000000,2773.733400000,1693.5771753115666,1722396.400000000,34495.784783974,136670.940000000
2021-03-08,Geo0,39715,52000,273000,662155,381411,,0,0.048328098129389284,291.219100000,501.941770000,2030.500100000,5160.068400000,2971.920700000,3075.5736803932396,2553928.200000000,51157.881348107,136670.940000000
2021-10-18,Geo0,367332,86000,362000,642076,305810,,377410,0.05364630386509599,2693.543700000,825.973940000,2691.072000000,5003.596000000,2382.844500000,4169.966762801713,2741299.000000000,54471.403939546,136670.940000000
2022-02-21,Geo0,15123,203000,474000,598668,239147,,237597,0.0176582372073927,110.892780000,1956.466300000,3521.767800000,4665.324000000,1863.412200000,7263.781615180878,993044.500000000,19818.883224606,136670.940000000
2021-03-15,Geo0,114458,231000,123000,423700,229769,,88088,0.045892924036324605,839.288800000,2226.131600000,912.495240000,3301.826400000,1790.339700000,1514.6570350240613,2218996.500000000,44457.799025178,136670.940000000
2021-12-27,Geo0,405537,142000,4000,848756,318456,,284255,0.03984561197446329,2973.690400000,1367.059100000,26.721603000,6614.220000000,2481.381000000,56.81481386037902,1985086.400000000,40086.346430346,136670.940000000
2023-09-25,Geo0,489714,150000,302000,738615,391996,,187471,0.049676559562988304,3590.937300000,1446.502900000,2241.783400000,5755.909000000,3054.398200000,3865.3037960724496,2268472.000000000,45369.494443328,136670.940000000
2021-11-22,Geo0,520753,404000,149000,970082,269750,,495078,0.08845302979324399,3818.537600000,3894.999800000,1104.629300000,7559.694300000,2101.868200000,1624.4447905557824,3886090.200000000,77885.750373358,136670.940000000
2021-02-01,Geo0,366206,182000,20000,527702,252506,,201441,0.04112409119415975,2685.287400000,1755.745400000,147.318080000,4112.297400000,1967.504400000,250.11850366044894,2064249.600000000,41497.960631232,136670.940000000
2023-03-20,Geo0,80371,16000,41000,68180,0,,0,0.03699890997705979,589.338300000,155.850500000,305.084050000,531.315860000,0E-9,453.17302156061584,1668393.500000000,33271.445197668,136670.940000000
2023-11-13,Geo0,299061,342000,481000,910568,185364,,123878,0.038686558430923564,2192.931400000,3295.189700000,3575.404300000,7095.911000000,1444.339800000,6032.229335067839,1855645.400000000,37004.196869886,136670.940000000
2022-07-11,Geo0,294096,18000,167000,930557,530907,,428218,0.055192003438502474,2156.524400000,177.813230000,1243.431500000,7251.682600000,4136.780300000,1833.6798673994394,2893510.500000000,57879.469233600,136670.940000000
2022-07-04,Geo0,566751,,149000,380696,379788,,161962,0.07318526629498104,4155.828000000,0E-9,1107.066500000,2966.703400000,2959.274400000,2359.344676472256,3017796.800000000,60265.761213819,136670.940000000
2022-08-29,Geo0,622406,305000,376000,800796,613038,,330101,0.047777741278781254,4563.931000000,2942.745000000,2795.982000000,6240.475600000,4776.738000000,4216.382408609823,2530940.500000000,50528.270665494,136670.940000000
2022-09-12,Geo0,0,72000,199000,507936,392550,,42253,0.05153532123942687,0E-9,690.533940000,1482.454500000,3958.264200000,3058.715000000,2595.3526476542943,2774088.200000000,55677.947517504,136670.940000000
2023-10-23,Geo0,407551,177000,372000,779124,421906,,267219,0.05015609239989475,2988.458700000,1710.277300000,2763.635000000,6071.589000000,3287.454300000,4808.388047727073,2492633.500000000,50239.496807598,136670.940000000
2023-12-04,Geo0,318244,107000,186000,473261,273689,,28740,0.04682945778118733,2333.595200000,1028.912200000,1381.156200000,3688.047600000,2132.560500000,2259.7004817570723,2075852.100000000,41396.476510032,136670.940000000
2023-05-01,Geo0,226898,75000,368000,673861,269730,,159312,0.027559960109403044,1663.780300000,720.788150000,2738.139400000,5251.291500000,2101.712200000,4716.958354357815,1364250.400000000,27501.462696965,136670.940000000
2022-04-04,Geo0,71431,154000,197000,308073,341741,,476568,0.0919416750744403,523.783750000,1484.614600000,1467.488600000,2400.763700000,2662.815700000,2690.3064497739833,3680882.800000000,73425.502875192,136670.940000000
2022-03-07,Geo0,410756,30000,14000,511332,335344,,249437,0.03787626758008951,3011.960000000,293.334470000,107.518040000,3984.728800000,2612.970700000,176.52506433634696,1792589.200000000,35538.654518544,136670.940000000
2021-08-02,Geo0,82595,247000,111000,144402,239598,,34179,0.05022360426156538,605.646240000,2380.371800000,827.894100000,1125.301800000,1866.926400000,1329.376885055849,2183971.000000000,43610.620545558,136670.940000000
2023-08-21,Geo0,226179,238000,218000,595325,406302,,28169,0.014600077059212757,1658.508000000,2295.452000000,1618.923500000,4639.273000000,3165.869100000,2932.6131141611822,855227.000000000,17031.430919905,136670.940000000
2021-10-04,Geo0,319900,146000,14000,762709,104958,,34799,0.020088405897905236,2345.738300000,1409.422700000,107.518040000,5943.669400000,817.823400000,213.05199275949286,1063526.200000000,21309.177859739,136670.940000000
2023-02-27,Geo0,308228,158000,122000,612010,322086,,365901,0.07227958923734025,2260.150400000,1523.314600000,909.233030000,4769.296400000,2509.665800000,1556.6499176312946,3053675.800000000,60822.894719742,136670.940000000
2022-08-01,Geo0,150049,45000,152000,485379,472051,,70746,0.011452926338361919,1100.267700000,435.658360000,1126.922000000,3782.481000000,3678.179700000,2343.1015827655965,643680.500000000,12941.209969791,136670.940000000
2022-10-31,Geo0,367094,354000,64000,540719,60695,,38764,0.080448748943858,2691.798800000,3408.271700000,473.862600000,4213.737000000,472.930050000,931.4294783802354,3570955.200000000,71610.921429523,136670.940000000
2022-08-08,Geo0,215156,104000,100000,389850,161554,,72917,0.033733583003437914,1577.679300000,1002.408500000,744.667800000,3038.038800000,1258.814500000,1188.7620436522793,1642985.800000000,33104.701612638,136670.940000000
2021-10-11,Geo0,307650,577000,296000,915117,800469,,307127,0.02465502175468513,2255.912400000,5566.143600000,2199.531200000,7131.361000000,6237.183600000,4713.780150414986,1374069.100000000,27443.382119040,136670.940000000
2021-05-31,Geo0,0,492000,161000,801735,331396,,117413,0.046347379950892914,0E-9,4740.362000000,1195.843800000,6247.793000000,2582.208300000,1764.402440063559,2179792.500000000,43526.451946178,136670.940000000
2023-11-06,Geo0,176909,,235000,546091,305829,,131601,0.03781080805583331,1297.224700000,1150.362900000,1743.421300000,4255.600000000,2382.992400000,2704.8009293764417,2062280.500000000,41311.380249706,136670.940000000
2022-12-12,Geo0,29492,109000,54000,627121,169003,,292630,0.02069682858795804,216.256670000,1047.972900000,402.302830000,4887.054000000,1316.856300000,750.1158239401224,1119445.400000000,22567.419241266,136670.940000000
2022-05-23,Geo0,132926,430000,48000,212899,309589,,0,0.06890612271937406,974.709530000,4148.843800000,360.392400000,1659.088000000,2412.290000000,591.4726368760206,3216923.200000000,64486.104690264,136670.940000000
2023-09-04,Geo0,413648,379000,455000,712102,416156,,243407,0.035571692023729916,3033.166300000,3649.447300000,3383.047400000,5549.297400000,3242.650600000,5814.630484322957,1905986.800000000,38115.531393119,136670.940000000
2023-10-16,Geo0,154999,381000,423000,835947,601505,,302805,0.02587755876195822,1136.564700000,3671.872800000,3141.943600000,6514.401400000,4686.874000000,6368.202135633487,1554150.800000000,31131.754169088,136670.940000000
2023-03-27,Geo0,75067,,1000,492758,30509,,74603,0.07186594452691542,550.445500000,2680.214400000,7.274875000,3839.984600000,237.723430000,10.761971445416453,2713922.200000000,54572.511039981,136670.940000000
2022-10-17,Geo0,185487,,366000,984345,738102,,441399,0.029490887522817078,1360.124900000,2022.527800000,2722.282000000,7670.843300000,5751.225600000,4695.346823182706,1778753.100000000,35654.212955444,136670.940000000
2022-12-19,Geo0,211475,0,210000,593108,165537,,163344,0.0301885313078956,1550.687600000,0E-9,1562.091800000,4621.996000000,1289.849600000,3115.4006842344606,1455831.400000000,29184.970549242,136670.940000000
2022-09-19,Geo0,523585,96000,321000,500605,251940,,52877,0.041136302744061375,3839.303700000,921.962040000,2385.765100000,3901.135000000,1963.094200000,4888.859294037249,2014284.000000000,39869.605468392,136670.940000000
2021-06-14,Geo0,522698,53000,10000,800459,393926,,330830,0.019586051360084664,3832.799800000,511.438420000,76.828330000,6237.849600000,3069.436500000,141.13568296948023,1048366.800000000,20875.658420074,136670.940000000
2022-11-28,Geo0,199935,132000,138000,765472,548471,,198037,0.01860642734992183,1466.068000000,1277.067900000,1027.139500000,5965.201000000,4273.637700000,2122.923893877799,1082464.400000000,21662.181233468,136670.940000000
2021-03-29,Geo0,428627,0,281000,501091,341979,,0,0.048186625494475464,3143.003000000,0E-9,2084.768000000,3904.922400000,2664.670200000,4269.890254927481,2363707.500000000,46957.375375680,136670.940000000
2023-10-30,Geo0,406914,82000,30000,174997,257069,,52585,0.07216121036538041,2983.787800000,789.549400000,220.037110000,1363.723800000,2003.058800000,355.25582180268765,3584369.500000000,71185.424142112,136670.940000000
