week,geo,promo_description
2021-12-13,Geo15,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2022-11-21,Geo16,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2023-11-06,Geo31,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2021-02-08,Geo34,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2021-06-21,Geo4,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2022-05-02,Geo6,-20% rabatu na całe zamówienie po przekroczeniu progu 300 zł.
2023-12-11,Geo32,-40% na wszystko w całym sklepie bez żadnych wyjątków.
2023-05-08,Geo0,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-11-21,Geo0,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-02-06,Geo1,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-10-04,Geo1,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-04-26,Geo1,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-11-15,Geo1,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-01-16,Geo10,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-07-03,Geo10,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-08-30,Geo11,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-03-15,Geo13,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-05-15,Geo14,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-09-06,Geo16,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-12-04,Geo16,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-05-31,Geo16,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-03-01,Geo17,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-10-23,Geo18,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-03-29,Geo2,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-08-22,Geo2,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-05-29,Geo20,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-11-20,Geo21,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-10-10,Geo22,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-04-25,Geo23,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-03-29,Geo23,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-09-27,Geo24,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-06-28,Geo25,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-03-29,Geo27,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-06-05,Geo3,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-09-27,Geo3,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-04-19,Geo3,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-05-30,Geo3,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-02-08,Geo3,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-09-27,Geo30,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-08-29,Geo31,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-06-05,Geo31,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-11-20,Geo31,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-07-17,Geo33,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-01-03,Geo34,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-09-12,Geo34,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-06-05,Geo34,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-09-20,Geo35,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-12-13,Geo36,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-08-30,Geo37,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-02-08,Geo4,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-05-24,Geo5,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-01-10,Geo5,Bezpłatne opakowanie na prezent do każdego zamówienia.
2022-03-07,Geo6,Bezpłatne opakowanie na prezent do każdego zamówienia.
2021-04-12,Geo7,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-05-08,Geo8,Bezpłatne opakowanie na prezent do każdego zamówienia.
2023-04-17,Geo27,Cała kategoria Outlet z dodatkowym rabatem -35%.
2023-10-23,Geo38,Cała kategoria Outlet z dodatkowym rabatem -35%.
2021-06-28,Geo4,Cała kategoria Outlet z dodatkowym rabatem -35%.
2021-06-28,Geo6,Cała kategoria Outlet z dodatkowym rabatem -35%.
2021-04-05,Geo20,Cała kategoria Outlet z dodatkowym rabatem -40%.
2021-12-13,Geo24,Cała kategoria Outlet z dodatkowym rabatem -40%.
2023-09-18,Geo15,Cała oferta -35% dla członków klubu lojalnościowego.
2022-07-04,Geo5,Cała oferta -35% dla członków klubu lojalnościowego.
2022-07-04,Geo15,Cała oferta dwóch marek z rabatem -30%.
2021-12-27,Geo30,Cała oferta dwóch marek z rabatem -30%.
2021-04-12,Geo0,Cała oferta jednej marki z rabatem -20%.
2023-02-13,Geo10,Cała oferta jednej marki z rabatem -20%.
2021-08-23,Geo11,Cała oferta jednej marki z rabatem -20%.
2021-05-17,Geo13,Cała oferta jednej marki z rabatem -20%.
2022-10-17,Geo14,Cała oferta jednej marki z rabatem -20%.
2023-11-13,Geo16,Cała oferta jednej marki z rabatem -20%.
2023-01-23,Geo18,Cała oferta jednej marki z rabatem -20%.
2023-10-30,Geo2,Cała oferta jednej marki z rabatem -20%.
2022-01-24,Geo2,Cała oferta jednej marki z rabatem -20%.
2022-05-16,Geo22,Cała oferta jednej marki z rabatem -20%.
2021-07-05,Geo24,Cała oferta jednej marki z rabatem -20%.
2022-08-22,Geo26,Cała oferta jednej marki z rabatem -20%.
2021-09-20,Geo26,Cała oferta jednej marki z rabatem -20%.
2022-08-22,Geo27,Cała oferta jednej marki z rabatem -20%.
2022-05-09,Geo34,Cała oferta jednej marki z rabatem -20%.
2021-09-13,Geo34,Cała oferta jednej marki z rabatem -20%.
2022-06-20,Geo39,Cała oferta jednej marki z rabatem -20%.
2021-08-09,Geo8,Cała oferta jednej marki z rabatem -20%.
2021-10-11,Geo28,Cały outlet dodatkowe -45%.
2023-11-20,Geo9,Cały outlet dodatkowe -45%.
2021-06-07,Geo1,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-07-03,Geo1,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-03-07,Geo11,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-09-05,Geo11,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-12-06,Geo11,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-03-15,Geo12,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-10-31,Geo13,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-11-08,Geo13,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-12-26,Geo15,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-04-11,Geo15,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-09-20,Geo16,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-08-14,Geo17,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-08-28,Geo18,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-09-26,Geo18,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-08-30,Geo19,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-03-20,Geo2,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-07-17,Geo2,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-06-19,Geo20,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-11-22,Geo21,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-06-07,Geo21,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-12-26,Geo22,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-02-01,Geo25,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-06-06,Geo26,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-03-07,Geo26,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-03-13,Geo26,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-05-22,Geo28,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-07-10,Geo28,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-10-31,Geo29,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-05-09,Geo29,Darmowa dostawa dla zamówień powyżej 250 zł.
